Column1,Column2
arabic_question,sql_query
شو الفئة الفرعية تبعت إيران والعراق خلال خمسة قرون؟,SELECT Subcategory FROM books WHERE Title = 'إيران والعراق خلال خمسة قرون';
شو الكتب الموجودة تحت الفئة الثانوية 'التصوير'؟,SELECT * FROM books WHERE Subcategory = 'التصوير';
"بتعرف مين كتب "" الإعلام الآلي والقانون""؟",SELECT Author FROM books WHERE Title = 'الإعلام الآلي والقانون';
"بتعرف عدد صفحات كتاب ""الطلل في النص العربي""؟",SELECT Pages FROM books WHERE Title = 'الطلل في النص العربي';
"بتعرف عدد صفحات كتاب "" أصول الفقه لأبي عبد الله البصري الحنفي""؟",SELECT Pages FROM books WHERE Title = 'أصول الفقه لأبي عبد الله البصري الحنفي';
"قديش ثمن "" الثقوب السوداء""؟",SELECT Price FROM books WHERE Title = 'الثقوب السوداء';
بدي اشوف كتب صادرة عن  مركز أوال للدراسات والتوثيق.,SELECT Title FROM books WHERE Publisher = 'مركز أوال للدراسات والتوثيق';
"قديش عدد صفحات "" الخداع في حرب الخليج""؟",SELECT Pages FROM books WHERE Title = 'الخداع في حرب الخليج';
بدي كتب من  مركز الكتاب الأكاديمي ضمن الاقتصاد والأعمال,SELECT * FROM books WHERE Publisher = 'مركز الكتاب الأكاديمي' AND Category = 'الاقتصاد والأعمال'
"قديش ثمن "" الدعم القانوني والمالي للطاقة المتجددة""؟",SELECT Price FROM books WHERE Title = 'الدعم القانوني والمالي للطاقة المتجددة';
شو نوع كتاب دروز سوريا ولبنان في عهد الانتداب الفرنسي؟,SELECT Category FROM books WHERE Title = 'دروز سوريا ولبنان في عهد الانتداب الفرنسي';
"بتعرف مين كتب "" الفن التشكيلي؛ نقد الإبداع وإبداع النقد""؟",SELECT Author FROM books WHERE Title = 'الفن التشكيلي؛ نقد الإبداع وإبداع النقد';
عن شو بيحكي كتاب الفكر التربوي عند ابن خلدون؟,SELECT Description FROM books WHERE Title = 'الفكر التربوي عند ابن خلدون';
"قديش عدد صفحات "" معالم قرآنية في الفيزياء والكون""؟",SELECT Pages FROM books WHERE Title = 'معالم قرآنية في الفيزياء والكون';
"ما هي الفئة الفرعية لكتاب ""نحو كتلة تاريخية ديمقراطية في البلدان العربية""؟",SELECT Subcategory FROM books WHERE Title = 'نحو كتلة تاريخية ديمقراطية في البلدان العربية';
"شو سعر كتاب "" الكلم الطيب - العدد العشرون""؟",SELECT Price FROM books WHERE Title = 'الكلم الطيب - العدد العشرون';
"مين اللي كاتب كتاب "" مقدمة في فيزياء البلازما""؟",SELECT Author FROM books WHERE Title = 'مقدمة في فيزياء البلازما';
"ما هو سعر كتاب ""مشكلتي خجلي Shyness is my Problem - إنجليزي - عربي""؟",SELECT Price FROM books WHERE Title = 'مشكلتي خجلي Shyness is my Problem - إنجليزي - عربي';
"قديش عدد صفحات "" أحكام اليتيم في الإسلام""؟",SELECT Pages FROM books WHERE Title = 'أحكام اليتيم في الإسلام';
"بتعرف مين كتب "" نباتات طبية ذكرتها الكتب السماوية""؟",SELECT Author FROM books WHERE Title = 'نباتات طبية ذكرتها الكتب السماوية';
مين ألّف كتاب أطلس مدن الأردن + CD؟,SELECT Author FROM books WHERE Title = 'أطلس مدن الأردن + CD';
"مين الكاتب تبع "" الجرائم المسماة في الإسلام""؟",SELECT Author FROM books WHERE Title = 'الجرائم المسماة في الإسلام';
"قديش عدد صفحات "" مغير قواعد اللعبة""؟",SELECT Pages FROM books WHERE Title = 'مغير قواعد اللعبة';
بدي اشوف كتب صادرة عن نوفل / هاشيت أنطوان.,SELECT Title FROM books WHERE Publisher = 'نوفل / هاشيت أنطوان';
"سعر "" التوبة في القرآن الكريم"" قديش؟",SELECT Price FROM books WHERE Title = 'التوبة في القرآن الكريم';
"سعر "" الحوثيون سلاح الطائفة وولاءات السياسة"" قديش؟",SELECT Price FROM books WHERE Title = 'الحوثيون سلاح الطائفة وولاءات السياسة';
"ما هو موضوع كتاب ""لم تتأرجح القرود على الأشجار""؟",SELECT Description FROM books WHERE Title = 'لم تتأرجح القرود على الأشجار';
"مين اللي كاتب كتاب "" مصحف الخيرة""؟",SELECT Author FROM books WHERE Title = 'مصحف الخيرة';
"مين الكاتب تبع "" مجلة الجامعة الأسمرية - السنة الثالثة العدد الخامس""؟",SELECT Author FROM books WHERE Title = 'مجلة الجامعة الأسمرية - السنة الثالثة العدد الخامس';
"بتعرف مين كتب ""المذاهب المعاصرة وموقف الإسلام منها""؟",SELECT Author FROM books WHERE Title = 'المذاهب المعاصرة وموقف الإسلام منها';
"قديش عدد صفحات "" الانتخابات النيابية في لبنان 1996 - العدد 26""؟",SELECT Pages FROM books WHERE Title = 'الانتخابات النيابية في لبنان 1996 - العدد 26';
"شو سعر كتاب "" الكهرباء والمغناطيسية والضوء - الجزء الأول""؟",SELECT Price FROM books WHERE Title = 'الكهرباء والمغناطيسية والضوء - الجزء الأول';
"بتعرف مين كتب "" إيجابيات الطاعون;ومسرحيات أخرى""؟",SELECT Author FROM books WHERE Title = 'إيجابيات الطاعون;ومسرحيات أخرى';
من هو المؤلف وقديش عدد صفحات كتاب 'نظرية الأحلام'؟,"SELECT Author, Pages FROM books WHERE Title = 'نظرية الأحلام';"
عن شو بيحكي كتاب رسالة خضراء؟,SELECT Description FROM books WHERE Title = 'رسالة خضراء';
"شو سعر كتاب "" اللياقة البدنية والمعالجة بالرياضة""؟",SELECT Price FROM books WHERE Title = 'اللياقة البدنية والمعالجة بالرياضة';
بدي اعرف شو صدر من كتب سنة 2007.,SELECT Title FROM books WHERE `PublicationYear` = 2007;
"مين اللي كاتب كتاب "" رباط الدم""؟",SELECT Author FROM books WHERE Title = 'رباط الدم';
"مين الكاتب تبع "" الإعلام وقضايا المرأة""؟",SELECT Author FROM books WHERE Title = 'الإعلام وقضايا المرأة';
"شو سعر كتاب "" أساسيات الاقتصاد النقدي والمصرفي""؟",SELECT Price FROM books WHERE Title = 'أساسيات الاقتصاد النقدي والمصرفي';
"قديش عدد صفحات "" فنون ازياء التلي في محافظه اسيوط بين التحديات المعاصرة وتأكيد الهويه""؟",SELECT Pages FROM books WHERE Title = 'فنون ازياء التلي في محافظه اسيوط بين التحديات المعاصرة وتأكيد الهويه';
"قديش عدد صفحات "" الفن العراقي القديم""؟",SELECT Pages FROM books WHERE Title = 'الفن العراقي القديم';
ما اسم الناشر وسنة النشر لكتاب ' آفاق وضمانات الاستثمارات العربية-الأوروبية'؟,"SELECT Publisher, PublicationYear FROM books WHERE Title = 'آفاق وضمانات الاستثمارات العربية-الأوروبية';"
"بدي أعرف مين ألّف كتاب "" الولاية في النكاح في الشريعة الإسلامية""؟",SELECT Author FROM books WHERE Title = 'الولاية في النكاح في الشريعة الإسلامية';
شو الفئة الفرعية تبعت ذكريات سمين سابق؟,SELECT Subcategory FROM books WHERE Title = 'ذكريات سمين سابق';
"بتعرف عدد صفحات كتاب "" ماما بنت صفي""؟",SELECT Pages FROM books WHERE Title = 'ماما بنت صفي';
"مين اللي كاتب كتاب "" قصص الأنبياء والسيرة النبوية""؟",SELECT Author FROM books WHERE Title = 'قصص الأنبياء والسيرة النبوية';
"من هو مؤلف كتاب ""الطفولة""؟",SELECT Author FROM books WHERE Title = 'الطفولة';
الكتاب أسامة يتعلّم شو موضوعه؟,SELECT Description FROM books WHERE Title = 'أسامة يتعلّم';
ما اسم الناشر وسنة النشر لكتاب ' أخلاق النبي صلى الله عليه وسلم وأفي بيته (ع)'؟,"SELECT Publisher, PublicationYear FROM books WHERE Title = 'أخلاق النبي صلى الله عليه وسلم وأهل بيته (ع)';"
بدي اشوف كتب صادرة عن  الدار المتوسطية للنشر.,SELECT Title FROM books WHERE Publisher = 'الدار المتوسطية للنشر';
"مين اللي كاتب كتاب "" العلاقات العامة في الإعلام""؟",SELECT Author FROM books WHERE Title = 'العلاقات العامة في الإعلام';
"مين الكاتب تبع "" الثقافة النفسية - العدد الخامس عشر""؟",SELECT Author FROM books WHERE Title = 'الثقافة النفسية - العدد الخامس عشر';
عن شو بيحكي كتاب الوقاية من أمراض السرطان والتخلص من سموم الجسم بطريقة الشاولين الصينية؟,SELECT Description FROM books WHERE Title = 'الوقاية من أمراض السرطان والتخلص من سموم الجسم بطريقة الشاولين الصينية';
"قديش ثمن "" تراجيديا آدم""؟",SELECT Price FROM books WHERE Title = 'تراجيديا آدم';
"قديش ثمن "" السياسة المالية في التاريخ الإقتصادي الإسلامي""؟",SELECT Price FROM books WHERE Title = 'السياسة المالية في التاريخ الإقتصادي الإسلامي';
"من هو الناشر لكتاب ""The Intelligent Goat""؟",SELECT Publisher FROM books WHERE Title = 'The Intelligent Goat';
"سعر "" الشفا بتعريف حقوق المصطفى صلى الله عليه وسلم"" قديش؟",SELECT Price FROM books WHERE Title = 'الشفا بتعريف حقوق المصطفى صلى الله عليه وسلم';
مين اللي نشر كتاب إبهامينا؟,SELECT Publisher FROM books WHERE Title = 'إبهامينا';
"بتعرف عدد صفحات كتاب "" السيرة النبوية - ابن كثير""؟",SELECT Pages FROM books WHERE Title = 'السيرة النبوية - ابن كثير';
"قديش ثمن ""البينياء : الصيرياء & الحيرياء""؟",SELECT Price FROM books WHERE Title = 'البينياء : الصيرياء & الحيرياء';
"سعر "" الأقليات في العالم العربي - العدد 10"" قديش؟",SELECT Price FROM books WHERE Title = 'الأقليات في العالم العربي - العدد 10';
شو الكتب الموجودة تحت الفئة الثانوية 'التصوير'؟,SELECT * FROM books WHERE Subcategory = 'التصوير';
ما الكتب التي كتبها محمد  المكي وعدد صفحاتها؟,"SELECT Title, Pages FROM books WHERE Author = 'محمد  المكي';"
"بتعرف مين كتب "" الفن العراقي القديم""؟",SELECT Author FROM books WHERE Title = 'الفن العراقي القديم';
"شو سعر كتاب "" عقلنة الأسطورة""؟",SELECT Price FROM books WHERE Title = 'عقلنة الأسطورة';
الكتاب المرأة والجنس كم صفحة فيه؟,SELECT Pages FROM books WHERE Title = 'المرأة والجنس';
بدي كتاب صفحاته بين 2005 و2015,SELECT * FROM books WHERE Pages BETWEEN 2005 AND 2015
"ما هو سعر كتاب ""تأثير العطور والألوان على نفسية الإنسان""؟",SELECT Price FROM books WHERE Title = 'تأثير العطور والألوان على نفسية الإنسان';
"شو سعر كتاب "" تأملات""؟",SELECT Price FROM books WHERE Title = 'تأملات';
بدي كتاب لـ  سعد البزاز نُشر بعد 2015,SELECT * FROM books WHERE Author = 'سعد البزاز' AND PublicationYear > 2015
شو الكتب التي كتبها إسلام عشورة وشو هي أسعارها؟,"SELECT Title, Price FROM books WHERE Author = 'إسلام عمارة';"
"مين الكاتب تبع "" أثر التحرير المالي والمصرفي على الصناعة المصرفية""؟",SELECT Author FROM books WHERE Title = 'أثر التحرير المالي والمصرفي على الصناعة المصرفية';
قديش حق مشيخة العلامة المحدث فخر الدين الدكدكجي؟,SELECT Price FROM books WHERE Title = 'مشيخة العلامة المحدث فخر الدين الدكدكجي';
هل في كتاب فيه أكتر من 297 صفحة؟,SELECT * FROM books WHERE Pages > 297
"قديش ثمن "" أحكام الشعر في الفقه الإسلامي""؟",SELECT Price FROM books WHERE Title = 'أحكام الشعر في الفقه الإسلامي';
"بتعرف مين كتب "" شوق المستهام في معرفة رموز الاقلام""؟",SELECT Author FROM books WHERE Title = 'شوق المستهام في معرفة رموز الاقلام';
"سعر "" وصايا الرمال"" قديش؟",SELECT Price FROM books WHERE Title = 'وصايا الرمال';
مين اللي نشر كتاب المسلمون في بورندي؟,SELECT Publisher FROM books WHERE Title = 'المسلمون في بورندي';
"مين الكاتب تبع ""الحفر في الذات : مقاطع من أسطورة آدم""؟",SELECT Author FROM books WHERE Title = 'الحفر في الذات : مقاطع من أسطورة آدم';
"سعر "" الكافي في مبحث الولاية العامة للفقيه"" قديش؟",SELECT Price FROM books WHERE Title = 'الكافي في مبحث الولاية العامة للفقيه';
الغلاف تبع ذئب الصحراء كيف شكله؟,SELECT Cover FROM books WHERE Title = 'ذئب الصحراء';
"قديش عدد صفحات "" الفيزياء التطبيقية الحديثة""؟",SELECT Pages FROM books WHERE Title = 'الفيزياء التطبيقية الحديثة';
فيه إشي جديد من  دار سطور للنشر والتوزيع؟,SELECT Title FROM books WHERE Publisher = 'دار سطور للنشر والتوزيع';
مين هو المؤلف وكم عدد صفحات كتاب ' إدارة المبيعات في البنوك'؟,"SELECT Author, Pages FROM books WHERE Title = 'إدارة المبيعات في البنوك';"
"مين اللي كاتب كتاب ""بينات؛ رحلة في آفاق الفلسفة والعرفان""؟",SELECT Author FROM books WHERE Title = 'بينات؛ رحلة في آفاق الفلسفة والعرفان';
بدي كتاب في تصنيف الفلسفة وسعره أقل من 7,SELECT * FROM books WHERE Category = 'الفلسفة' AND Price < 7
"سعر "" كتاب الزيج الصابئ"" قديش؟",SELECT Price FROM books WHERE Title = 'كتاب الزيج الصابئ';
"مين اللي كاتب كتاب "" قراءات في الثقافة والسلطة والإعلام""؟",SELECT Author FROM books WHERE Title = 'قراءات في الثقافة والسلطة والإعلام';
"شو سعر كتاب "" تفعيل دور الوقف النقدي في التنمية""؟",SELECT Price FROM books WHERE Title = 'تفعيل دور الوقف النقدي في التنمية';
شو الفئة الفرعية تبعت سيدة السهول الخضراء؟,SELECT Subcategory FROM books WHERE Title = 'سيدة السهول الخضراء';
"مين الكاتب تبع "" إعرابات القراءات الشواذ""؟",SELECT Author FROM books WHERE Title = 'إعرابات القراءات الشواذ';
"بتعرف مين كتب "" جامع البيان في تفسير القرآن ومعه حاشية محمد بن عبدالله الغزنوي 1/4""؟",SELECT Author FROM books WHERE Title = 'جامع البيان في تفسير القرآن ومعه حاشية محمد بن عبدالله الغزنوي 1/4';
غلاف الكتاب الأطلس الاقتصادي للعالم الإسلامي ورقي ولا صلب؟,SELECT Cover FROM books WHERE Title = 'الأطلس الاقتصادي للعالم الإسلامي';
"ما هو تصنيف كتاب ""مصر أصل الحضارة""؟",SELECT Category FROM books WHERE Title = 'مصر أصل الحضارة';
"شو سعر كتاب ""عصر الجهل، إشكالية التخلف وضرورة التنوير""؟","SELECT Price FROM books WHERE Title = 'عصر الجهل، إشكالية التخلف وضرورة التنوير';"
"بتعرف مين كتب "" المصير في القرآن الكريم ـ دراسة موضوعية""؟",SELECT Author FROM books WHERE Title = 'المصير في القرآن الكريم ـ دراسة موضوعية';
"قديش عدد صفحات ""محاضرات في علم الاجتماع""؟",SELECT Pages FROM books WHERE Title = 'محاضرات في علم الاجتماع';
"بتعرف عدد صفحات كتاب "" مؤتمر إيباك 2004""؟",SELECT Pages FROM books WHERE Title = 'مؤتمر إيباك 2004';
مين كاتب رحلة الثلاثين عاماً؟,SELECT Author FROM books WHERE Title = 'رحلة الثلاثين عاماً';
"شو أرخص كتب لـ  ناجح الصالحي ، جهينة عمر؟","SELECT * FROM books WHERE Author = 'ناجح الصالحي ، جهينة عمر' ORDER BY Price ASC"
"قديش ثمن "" تحديات التكامل الاقتصادي العربي في عصر العولمة""؟",SELECT Price FROM books WHERE Title = 'تحديات التكامل الاقتصادي العربي في عصر العولمة';
الكتاب جملود الجمل نزل في أي سنة؟,SELECT PublicationYear FROM books WHERE Title = 'جملود الجمل';
"بتعرف عدد صفحات كتاب ""اللحظة العدمية المتعالية : ميتافيزيقا الثورة""؟",SELECT Pages FROM books WHERE Title = 'اللحظة العدمية المتعالية : ميتافيزيقا الثورة';
مين ألّف كتاب مدخل الى أدب العصر الأموي؟,SELECT Author FROM books WHERE Title = 'مدخل الى أدب العصر الأموي';
"مين اللي كاتب كتاب ""اغتيال العقل؛ محنة الثقافة العربية بين السلفية والتبعية""؟",SELECT Author FROM books WHERE Title = 'اغتيال العقل؛ محنة الثقافة العربية بين السلفية والتبعية';
"بتعرف عدد صفحات كتاب "" رحلة إبن عوف إلى مملكة الخوف""؟",SELECT Pages FROM books WHERE Title = 'رحلة إبن عوف إلى مملكة الخوف';
